10+0,alexmlg,1696,jovan_kingofkings,1725,80,time,black,w,29,C24,4,Bishop's Opening: Berlin Defense
8+8,casparon,1718,mahmoud_safyan,1649,42,resign,black,b,69,C24,4,Bishop's Opening: Berlin Defense
3+8,hansons,1802,first-time-1,2251,68,resign,black,w,449,C24,4,Bishop's Opening: Berlin Defense
10+0,chez91,1528,red-0,1458,96,resign,black,b,70,C24,4,Bishop's Opening: Berlin Defense
10+0,hd_aslani,1504,ezio9494,1531,74,resign,black,w,27,C24,4,Bishop's Opening: Berlin Defense
10+0,yuli123,1635,vzg100,1595,40,resign,black,b,40,C24,4,Bishop's Opening: Berlin Defense
30+0,mikaone,1697,vzg100,1566,70,resign,black,b,131,C24,4,Bishop's Opening: Berlin Defense
15+15,jdy,1061,juozaskaz,1297,27,resign,black,w,236,C20,4,Bishop's Opening: Boi Variation
15+0,talal70,1629,ri_chess,1517,26,mate,black,b,112,C20,4,Bishop's Opening: Boi Variation
8+10,samuelpro,1215,kolphire,1703,106,mate,black,w,488,C20,4,Bishop's Opening: Boi Variation
10+0,hunterwolf,1672,pink-flower,1988,70,mate,black,w,316,C20,4,Bishop's Opening: Boi Variation
5+8,scorpio,1240,meekrose,1272,64,resign,black,w,32,C20,4,Bishop's Opening: Boi Variation
10+0,chez91,1522,kavabangaa,1456,28,mate,black,b,66,C20,4,Bishop's Opening: Boi Variation
10+0,sobhy1234,1418,hd_aslani,1482,20,mate,black,w,64,C20,4,Bishop's Opening: Boi Variation
10+0,ethan_3f,1406,hulumululumu,1416,50,resign,black,w,10,C23,4,Bishop's Opening: Calabrese Countergambit
10+0,megashira,1054,carlosamadorsanchez,1384,108,mate,black,w,330,C23,4,Bishop's Opening: Khan Gambit
180+0,carlosz,1640,dpoty,1456,32,resign,black,b,184,C23,4,Bishop's Opening: Khan Gambit
20+0,dudewtfman,1224,icecreamdealer,1763,32,mate,black,w,539,C23,4,Bishop's Opening: Philidor Counterattack
10+0,omid163,1756,cdvh,1756,40,mate,black, ,0,C24,5,Bishop's Opening: Ponziani Gambit
20+0,ogun,1785,skuppam3,1432,50,resign,black,b,353,C24,5,Bishop's Opening: Ponziani Gambit
7+2,serber,1564,mikiduda,1389,92,mate,black,b,175,C24,5,Bishop's Opening: Ponziani Gambit
8+0,siavash-ir,1787,first-time-1,2258,56,resign,black,w,471,C28,7,Bishop's Opening: Vienna Hybrid
10+0,alexmalando,1804,styx13,1869,104,time,black,w,65,C28,7,Bishop's Opening: Vienna Hybrid
14+12,mccheese,989,hortense,791,74,resign,black,b,198,D00,3,Blackmar-Diemer Gambit
10+0,aerdna87,1324,kimmmmi060,1215,26,resign,black,b,109,D00,3,Blackmar-Diemer Gambit
10+0,spodermenz,1500,chez91,1520,20,resign,black,w,20,D00,3,Blackmar-Diemer Gambit
10+0,messiosousa,1425,chez91,1525,4,resign,black,w,100,D00,3,Blackmar-Diemer Gambit
10+1,thatguythatistr,1519,fercho10,1482,63,resign,black,b,37,D00,3,Blackmar-Diemer Gambit
10+8,thatguythatistr,1576,madmongrel,1352,43,resign,black,b,224,D00,3,Blackmar-Diemer Gambit
10+0,thatguythatistr,1583,xtianjr,1496,132,mate,black,b,87,D00,3,Blackmar-Diemer Gambit
10+0,thatguythatistr,1556,bus1408,1550,64,resign,black,b,6,D00,3,Blackmar-Diemer Gambit
15+0,iklit,1141,hamidreza,1358,4,resign,black,w,217,D00,3,Blackmar-Diemer Gambit
15+15,csslider,1461,cape217,1402,36,resign,black,b,59,D00,8,Blackmar-Diemer Gambit Declined |  Lamb Defense
10+10,halma,984,dragonstar1738,1378,76,resign,black,w,394,D00,5,Blackmar-Diemer Gambit: Gedult Gambit
10+0,metinnazlioglu,1499,fernholz,1449,70,resign,black,b,50,D00,5,Blackmar-Diemer Gambit: Gedult Gambit
10+0,carlosamadorsanchez,1221,firstrow,1168,50,mate,black,b,53,D00,5,Blackmar-Diemer Gambit: Gedult Gambit
6+10,thatguythatistr,1539,radovankaluza,1533,52,mate,black,b,6,D00,6,Blackmar-Diemer Gambit: Netherlands Variation
10+0,rodrigodiazdevivar,1229,bobbyevans,1517,86,time,black,w,288,D00,9,Blackmar-Diemer Gambit: Ryder Gambit
15+10,grealsan,1828,aeilnrst,1948,94,time,black,w,120,D00,10,Blackmar-Diemer Gambit: Teichmann Variation
10+0,izulns,1084,ethan_3f,1402,26,resign,black,w,318,D00,8,Blackmar-Diemer Gambit: Vienna Variation
6+6,humb,1835,isachess,1865,158,mate,black,w,30,E10,6,Blumenfeld Countergambit #2
10+0,chessguy9001,1278,wolfbrotherwolf,1500,8,resign,black,w,222,B00,2,Borg Defense
7+7,tca1004,1471,dipset,1488,58,mate,black,w,17,B00,2,Borg Defense
10+0,pmw97,1767,master1move,2050,86,resign,black,w,283,A52,6,Budapest Defense
10+0,lyckyfisher,2149,roman12342005,1933,60,resign,black,b,216,A52,7,Budapest Defense: Adler Variation
5+8,brunozaurus,1645,slon-al,1806,70,resign,black,w,161,A52,7,Budapest Defense: Adler Variation
15+5,vfhfnvfhfn22,1708,shturmovic,1864,92,resign,black,w,156,A52,7,Budapest Defense: Adler Variation
15+14,toni4127,1873,napoleon22,1574,16,mate,black,b,299,A52,7,Budapest Defense: Adler Variation
5+8,brunozaurus,1611,blazingdragon,1560,16,mate,black,b,51,A52,7,Budapest Defense: Adler Variation
10+0,adonaiadan,1729,siindbad,1886,20,resign,black,w,157,A52,7,Budapest Defense: Adler Variation
10+0,jackydawg,1511,vold111,1680,38,resign,black,w,169,A52,7,Budapest Defense: Adler Variation
10+0,dkattir,1860,jakerva,1886,50,mate,black,w,26,A52,7,Budapest Defense: Adler Variation
10+0,dnowchess,1811,dorliss,1753,16,mate,black,b,58,A52,7,Budapest Defense: Adler Variation
10+0,maltetillmarconi,1972,kardsalan,1952,74,mate,black,b,20,A52,7,Budapest Defense: Rubinstein Variation
10+0,cookieblake,1545,dct94,1554,44,resign,black,w,9,B15,5,Caro-Kann Defense
10+0,louwyhs,1236,kardsalan,1941,19,resign,black,w,705,B10,2,Caro-Kann Defense
8+0,barrow-wight,1377,mathhopper,1340,44,mate,black,b,37,B10,2,Caro-Kann Defense
5+8,islam01,1375,sommer2130,1529,100,resign,black,w,154,B12,3,Caro-Kann Defense
10+25,kevchod,1472,prasanth1981,1498,51,resign,black,w,26,B12,3,Caro-Kann Defense
10+5,kingcrazy99,1431,robtral9,1376,22,resign,black,b,55,B10,2,Caro-Kann Defense
10+0,piley159,1154,arroyon,1332,118,mate,black,w,178,B10,2,Caro-Kann Defense
20+15,misfox,1097,muddel,1902,68,mate,black,w,805,B10,2,Caro-Kann Defense
15+5,chessguy9001,1272,chessguy9002,1169,40,time,black,b,103,B10,2,Caro-Kann Defense
5+5,thepawnsofwrath,1500,play4funandwin,1401,23,resign,black,b,99,B10,2,Caro-Kann Defense
10+0,ayan4you,1234,userx100,1235,60,mate,black,w,1,B10,2,Caro-Kann Defense
10+0,orho,1291,userx100,1301,60,mate,black,w,10,B10,2,Caro-Kann Defense
10+0,sinral,1346,userx100,1276,96,time,black,b,70,B10,2,Caro-Kann Defense
5+8,vilassarxavi,1830,ammanian,1694,84,resign,black,b,136,B10,2,Caro-Kann Defense
10+3,blokh1n,1154,juro1,1240,58,mate,black,w,86,B15,5,Caro-Kann Defense
15+15,darobertson,1645,trashmaster,1649,62,resign,black,w,4,B10,2,Caro-Kann Defense
10+0,kellyclarkson,1353,blueroja,1661,46,mate,black,w,308,B10,2,Caro-Kann Defense
10+0,kellyclarkson,1359,lbzmosh,2109,44,mate,black,w,750,B10,2,Caro-Kann Defense
10+0,kellyclarkson,1389,max_q,1561,64,mate,black,w,172,B10,2,Caro-Kann Defense
10+0,carson_wells,1478,fistiko,1668,188,mate,black,w,190,B11,4,Caro-Kann Defense
20+0,eprdk,1298,radioactive7,1347,45,resign,black,w,49,B15,5,Caro-Kann Defense
25+0,bobcricket01,1678,saitama_opm,1395,112,mate,black,b,283,B10,2,Caro-Kann Defense
5+10,markomejia7,1549,dpoty,1504,28,resign,black,b,45,B11,4,Caro-Kann Defense
45+45,nitin123,1185,jshholland,1542,86,mate,black,w,357,B10,2,Caro-Kann Defense
20+20,mahmoud_safyan,1649,ahmedgomez,1445,52,resign,black,b,204,B10,2,Caro-Kann Defense
10+0,salvo1969,1544,jeffersondarcy1,1558,88,mate,black,w,14,B11,4,Caro-Kann Defense
10+0,chez91,1526,hp1234,1640,58,mate,black,w,114,B11,4,Caro-Kann Defense
